2: Nitrogen: V/L sat. T=70.0 to 120.0 K

Temperature Pressure Density Density Enthalpy Enthalpy Entropy Entropy
(K) (bar) (kg/m^3) (kg/m^3) (kJ/kg) (kJ/kg) (kJ/kg-K) (kJ/kg-K)
70.000 0.38545 838.51 1.8960 -136.97 71.098 2.6321 5.6045
75.000 0.76043 816.67 3.5404 -126.83 75.316 2.7714 5.4667
80.000 1.3687 793.94 6.0894 -116.58 79.099 2.9028 5.3487
85.000 2.2886 770.13 9.8241 -106.16 82.352 3.0277 5.2454
90.000 3.6046 745.02 15.079 -95.517 84.970 3.1473 5.1527
95.000 5.4052 718.26 22.272 -84.571 86.828 3.2630 5.0672
100.00 7.7827 689.35 31.961 -73.209 87.766 3.3761 4.9858
105.00 10.833 657.52 44.959 -61.268 87.557 3.4882 4.9055
110.00 14.658 621.45 62.579 -48.486 85.835 3.6015 4.8226
115.00 19.370 578.70 87.294 -34.389 81.911 3.7198 4.7311
120.00 25.106 523.36 125.09 -17.870 74.173 3.8514 4.6185
